Year,Temperature Anomaly Relative To 1880
1880,-2.52E-12
1881,3.78E-12
1882,3.56E-11
1883,1.46E-10
1884,4.61E-10
1885,1.26E-09
1886,3.06E-09
1887,6.74E-09
1888,1.34E-08
1889,2.39E-08
1890,3.66E-08
1891,4.29E-08
1892,1.68E-08
1893,-1.04E-07
1894,-4.53E-07
1895,-1.29E-06
1896,-3.06E-06
1897,-6.53E-06
1898,-1.29E-05
1899,-2.39E-05
1900,-4.20E-05
1901,-7.00E-05
1902,-0.000111532
1903,-0.000169821
1904,-0.000247156
1905,-0.000343232
1906,-0.000452947
1907,-0.000563442
1908,-0.000650394
1909,-0.000673716
1910,-0.000572949
1911,-0.000262816
1912,0.000370359
1913,0.001470487
1914,0.003210746
1915,0.005788751
1916,0.009417016
1917,0.014308444
1918,0.020657504
1919,0.028618972
1920,0.038287243
1921,0.049679934
1922,0.062729204
1923,0.077282975
1924,0.093116138
1925,0.109949677
1926,0.127474088
1927,0.145373059
1928,0.163343988
1929,0.181113283
1930,0.198445799
1931,0.215148937
1932,0.231072567
1933,0.246106126
1934,0.260174125
1935,0.273231015
1936,0.285256041
1937,0.296248491
1938,0.3062235
1939,0.315208492
1940,0.323240231
1941,0.330362424
1942,0.336623821
1943,0.342076718
1944,0.346775804
1945,0.350777287
1946,0.35413823
1947,0.356916073
1948,0.35916827
1949,0.360952026
1950,0.362324102
1951,0.363340651
1952,0.364057075
1953,0.364527875
1954,0.364806471
1955,0.364944936
1956,0.364993578
1957,0.365
1958,0.365006752
1959,0.365057897
1960,0.365203489
1961,0.365496421
1962,0.365991449
1963,0.366744738
1964,0.367813584
1965,0.369256218
1966,0.371131624
1967,0.373499357
1968,0.376419318
1969,0.379951452
1970,0.384155337
1971,0.389089608
1972,0.394811169
1973,0.401374132
1974,0.408828416
1975,0.417217953
1976,0.426578439
1977,0.436934598
1978,0.448296976
1979,0.460658318
1980,0.473989683
1981,0.488236536
1982,0.503315216
1983,0.519110244
1984,0.535473088
1985,0.552222995
1986,0.569150451
1987,0.586023605
1988,0.602597664
1989,0.618626771
1990,0.636126982
1991,0.65513712
1992,0.675673342
1993,0.697800239
1994,0.721578604
1995,0.747064613
1996,0.77430902
1997,0.80335635
1998,0.834244115
1999,0.867002079
2000,0.901651565
2001,0.938204838
2002,0.976664567
2003,1.01702339
2004,1.059263582
2005,1.103356845
2006,1.149264221
2007,1.196936144
2008,1.246312617
2009,1.297323531
2010,1.349889107
2011,1.403920463
2012,1.459320298
2013,1.51598367
2014,1.573798868
2015,1.632648351
2016,1.692409741
2017,1.752956854
2018,1.814160749
2019,1.875890777
2020,1.93801561
2021,2.000404242
2022,2.062926944
2023,2.125456158
2024,2.18786732
2025,2.250039613
2026,2.311856628
2027,2.373206948
2028,2.433984636
2029,2.494089634
2030,2.553428085
2031,2.61191256
2032,2.669462213
2033,2.726002861
2034,2.781466995
2035,2.835793733
2036,2.888928714
2037,2.940823955
2038,2.991437655
2039,3.040733979
2040,3.088682805
2041,3.135259456
2042,3.180444418
2043,3.22422304
2044,3.266585243
2045,3.307525209
2046,3.347041091
2047,3.385134715
2048,3.421811292
2049,3.457079146
2050,3.490949446
2051,3.523435954
2052,3.554554783
2053,3.584324175
2054,3.612764289
2055,3.639897
2056,3.665745723
2057,3.690335238
2058,3.713691539
2059,3.735841692
2060,3.756813704
2061,3.776636408
2062,3.795339356
2063,3.812952725
2064,3.82950723
2065,3.845034052
2066,3.859564768
2067,3.87313129
2068,3.885765819
2069,3.897500792
2070,3.908368848
2071,3.918402792
2072,3.927635565
2073,3.936100218
2074,3.943829895
2075,3.95085781
2076,3.957217235
2077,3.962941487
2078,3.968063919
2079,3.972617907
2080,3.976636851
2081,3.980154165
2082,3.983203271
2083,3.985817601
2084,3.988030593
2085,3.989875686
2086,3.991386323
2087,3.992595949
2088,3.993538009
2089,3.994245947
2090,3.99475321
2091,3.995093244
2092,3.995299493
2093,3.995405405
2094,3.995444426
2095,3.99545
2096,3.995455574
2097,3.995494595
2098,3.995600507
2099,3.995806756
2100,3.99614679
