Year,cum
1880,2530
1881,5110
1882,7760
1883,10490
1884,13250
1885,16030
1886,18840
1887,21720
1888,24750
1889,27790
1890,30980
1891,34260
1892,37560
1893,40860
1894,44230
1895,47720
1896,51280
1897,54940
1898,58720
1899,62700
1900,66810
1901,71010
1902,75290
1903,79800
1904,84360
1905,89100
1906,94010
1907,99320
1908,104530
1909,109880
1910,115410
1911,121020
1912,126820
1913,132950
1914,138730
1915,144480
1916,150530
1917,156750
1918,162920
1919,168590
1920,174830
1921,180580
1922,186550
1923,193070
1924,199640
1925,206300
1926,212920
1927,219990
1928,227060
1929,234520
1930,241640
1931,248300
1932,254590
1933,261100
1934,267990
1935,275130
1936,282740
1937,290730
1938,298450
1939,306500
1940,314990
1941,323670
1942,332440
1943,341510
1944,350640
1945,358950
1946,367900
1947,377600
1948,387700
1949,397700
1950,408300
1951,419500
1952,430900
1953,442600
1954,454600
1955,467500
1956,481000
1957,495000
1958,509400
1959,524500
1960,540300
1961,556200
1962,572600
1963,589800
1964,607800
1965,626500
1966,646100
1967,666200
1968,687100
1969,709100
1970,732400
1971,756200
1972,780900
1973,806700
1974,832400
1975,858200
1976,885000
1977,912400
1978,940500
1979,969400
1980,998100
1981,1026100
1982,1053800
1983,1081700
1984,1110400
1985,1139900
1986,1169700
1987,1200200
1988,1231700
1989,1263700
1990,1295400
1991,1327500
1992,1358800
1993,1390300
1994,1422000
1995,1454500
1996,1487800
1997,1521300
1998,1554800
1999,1588600
2000,1623200
2001,1658000
2002,1693400
2003,1730400
2004,1768800
2005,1808300
2006,1848900
2007,1890600
2008,1932900
2009,1974700
2010,2018400
2011,2063400
2012,2109100
2013,2155200
2014,2201900
2015,2248500
2016,2295100
2017,2342300
2018,2390400
2019,2438700
2020,2485400
2021,2534000
2022,2575803.277
2023,2619176.002
2024,2653441.408
2025,2678205.11
2026,2693179.827
2027,2698190.93
2028,2693179.827
2029,2678205.11
2030,2653441.408
2031,2619176.002
2032,2575803.277
2033,2523817.167
2034,2463801.791
2035,2396420.541
2036,2322403.888
2037,2242536.235
2038,2157642.134
2039,2068572.219
2040,1976189.172
2041,1881354.052
2042,1784913.279
2043,1687686.539
2044,1590455.842
2045,1493955.907
2046,1398866.025
2047,1305803.487
2048,1215318.625
2049,1127891.459
2050,1043929.913
2051,963769.5221
2052,887674.5098
2053,815840.1011
2054,748395.9121
2055,685410.2399
2056,626895.0748
2057,572811.6506
2058,523076.3575
2059,477566.8469
2060,436128.175
2061,398578.8426
2062,364716.6136
2063,334324.0087
2064,307173.3952
2065,283031.6116
2066,261664.0874
2067,242838.4344
2068,226327.5041
2069,211911.919
2070,199382.0984
2071,188539.8086
2072,179199.275
2073,171187.8995
2074,164346.6293
2075,158530.0242
2076,153606.0701
2077,149455.7861
2078,145972.666
2079,143061.9969
2080,140640.0894
2081,138633.4527
2082,136977.941
2083,135617.8948
2084,134505.2973
2085,133598.9585
2086,132863.7412
2087,132269.8347
2088,131792.0835
2089,131409.3724
2090,131104.0706
2091,130861.5321
2092,130669.6527
2093,130518.4791
2094,130399.8679
2095,130307.1887
2096,130235.0702
2097,130179.1816
2098,130136.0482
2099,130102.8953
2100,130077.5179
