Year,Acc_emi
2020,3773708.959
2021,3898520.7
2022,4023600.656
2023,4148693.638
2024,4273550.452
2025,4397929.395
2026,4521597.587
2027,4644332.131
2028,4765921.092
2029,4886164.304
2030,5004873.997
2031,5121875.266
2032,5237006.376
2033,5350118.918
2034,5461077.837
2035,5569761.333
2036,5676060.66
2037,5779879.819
2038,5881135.19
2039,5979755.08
2040,6075679.229
2041,6168858.27
2042,6259253.163
2043,6346834.602
2044,6431582.416
2045,6513484.973
2046,6592538.575
2047,6668746.873
2048,6742120.295
2049,6812675.493
2050,6880434.811
2051,6945425.779
2052,7007680.634
2053,7067235.87
2054,7124131.814
2055,7178412.231
2056,7230123.961
2057,7279316.579
2058,7326042.089
2059,7370354.635
2060,7412310.249
2061,7451966.611
2062,7489382.843
2063,7524619.313
2064,7557737.472
2065,7588799.697
2066,7617869.158
2067,7645009.7
2068,7670285.739
2069,7693762.171
2070,7715504.289
2071,7735577.722
2072,7754048.369
2073,7770982.353
2074,7786445.978
2075,7800505.692
2076,7813228.057
2077,7824679.725
2078,7834927.418
2079,7844037.912
2080,7852078.021
2081,7859114.591
2082,7865214.488
2083,7870444.594
2084,7874871.8
2085,7878563.006
2086,7881585.116
2087,7884005.037
2088,7885889.676
2089,7887305.944
2090,7888320.75
2091,7889001.005
2092,7889413.619
2093,7889625.501
2094,7889703.563
2095,7889714.715
2096,7889725.867
2097,7889803.929
2098,7890015.811
2099,7890428.425
2100,7891108.68
